internal_id,customer_label,rawseqs(R1+R2),trimmed_seqs(R1+R2),dada2_infered,chimera_seqs,chimera_free_seqs,unique_seqs,seqs(after_size_filtration),final_unique_seqs
zr9122_1V3V4,M106.g1.BLMSE,29536,23844,11668,67,11601,32,11601,32
zr9122_2V3V4,M107.g1.BLMSE,132496,122122,60148,6128,54020,66,53743,54
zr9122_3V3V4,M108.g1.BLMSE,113930,105002,49856,2087,47769,251,47440,197
zr9122_4V3V4,M51.g1.BLMSE,92806,84576,39885,3803,36082,109,36076,108
zr9122_5V3V4,M53.g1.BLMSE,51718,44550,21657,2018,19639,17,19574,15
zr9122_6V3V4,M54.g1.BLMSE,94518,86448,42160,2649,39511,76,39432,58
zr9122_7V3V4,M58.g1.BLMSE,110950,100332,47019,2419,44600,383,44480,355
zr9122_8V3V4,M59.g1.BLMSE,120900,112204,54044,2900,51144,247,51031,224
zr9122_9V3V4,M60.g1.BLMSE,104126,94786,45508,550,44958,329,44862,314
zr9122_10V3V4,M62.g1.BLMSE,103182,94846,45645,5250,40395,93,40193,70
zr9122_11V3V4,M63.g1.BLMSE,100438,89526,42865,6125,36740,67,36540,47
zr9122_12V3V4,M64.g1.BLMSE,90984,81424,35069,1064,34005,299,33662,239
zr9122_13V3V4,M68.g1.BLMSE,81744,72432,35533,5592,29941,11,29932,9
zr9122_14V3V4,M90.g1.BLMSE,85684,77666,37833,5274,32559,73,32389,61
zr9122_15V3V4,M91.g1.BLMSE,122732,112082,53420,3988,49432,149,48859,107
zr9122_16V3V4,N53.g1.BLMSE,29416,23594,11718,88,11630,4,11630,4
zr9122_17V3V4,N54.g1.BLMSE,95436,86652,40680,991,39689,357,39608,338
zr9122_18V3V4,N55.g1.BLMSE,58110,49734,23775,388,23387,181,23355,175
zr9122_19V3V4,N56.g1.BLMSE,99310,90964,42259,2091,40168,273,39801,217
zr9122_20V3V4,N57.g1.BLMSE,95538,84208,40653,1884,38769,74,38768,73
zr9122_21V3V4,N58.g1.BLMSE,106772,98090,47546,1611,45935,75,45820,54
zr9122_22V3V4,N59.g1.BLMSE,118544,108486,50221,2608,47613,249,47355,220
zr9122_23V3V4,N60.g1.BLMSE,110446,101868,49744,1151,48593,97,48001,72
zr9122_24V3V4,N61.g1.BLMSE,109560,100340,44467,2846,41621,532,40881,423
zr9122_25V3V4,N62.g2.BLMSE,96832,88014,40410,1056,39354,300,39080,268
zr9122_26V3V4,N63.g1.BLMSE,62244,54654,26994,914,26080,10,26080,10
zr9122_27V3V4,N64.g1.BLMSE,87164,79736,38104,2418,35686,88,35643,81
zr9122_28V3V4,N70.g1.BLMSE,102246,94950,46122,3676,42446,67,42360,53
zr9122_29V3V4,N71.g1.BLMSE,97076,87418,41637,3377,38260,133,37924,111
zr9122_30V3V4,N72.g1.BLMSE,95688,87790,41944,919,41025,216,40954,201
zr9122_31V3V4,N73.g1.BLMSE,13940,9918,4909,0,4909,6,4909,6
zr9122_32V3V4,N74.g1.BLMSE,100012,89254,42176,1866,40310,208,40268,198
zr9122_33V3V4,N75.g1.BLMSE,68170,60348,29650,1492,28158,21,28145,18
zr9122_34V3V4,N99.g1.BLMSE,82504,76346,37306,954,36352,97,36261,81
zr9122_35V3V4,M11.g1.JMS,94908,87022,42447,3921,38526,91,38366,66
zr9122_36V3V4,M12.g1.JMS,112242,101384,49607,3795,45812,67,45632,48
zr9122_37V3V4,M14.g1.JMS,78432,68558,32459,926,31533,114,31437,101
zr9122_38V3V4,M16.g1.JMS,99306,88020,43052,5866,37186,19,37161,15
