internal_id,customer_label,rawseqs(R1+R2),trimmed_seqs(R1+R2),dada2_infered,chimera_seqs,chimera_free_seqs,unique_seqs,seqs(after_size_filtration),final_unique_seqs
zr9576_1V3V4,E01.g1.SBluG,422288,393690,190692,8619,182073,1447,180042,977
zr9576_2V3V4,E02.g1.SBluG,569488,529350,259016,17330,241686,632,240988,463
zr9576_3V3V4,GS.1250.1M,419626,392430,172813,18878,153935,5072,143615,2233
zr9576_4V3V4,GS.1250.2M,355404,330704,162670,1912,160758,718,159051,396
zr9576_5V3V4,GS.1250.4M,398434,371458,168600,13590,155010,3986,146773,1916
zr9576_6V3V4,GS.1251.1M,529274,492902,226936,13311,213625,4662,207470,2895
zr9576_7V3V4,GS.3688.1C,469828,437122,205160,22344,182816,2433,176984,1162
zr9576_8V3V4,GS.3688.1M,500554,466016,219179,17124,202055,2402,199131,1470
zr9576_9V3V4,GS.3688.2M,417902,388858,169721,10326,159395,4622,148733,1998
zr9576_10V3V4,GS.BH1C,438786,407908,191990,17426,174564,2130,169961,1070
zr9576_11V3V4,GS.BH1M,367760,342438,161660,6315,155345,2496,152030,1671
zr9576_12V3V4,GS.BH2M,385958,359096,163162,9562,153600,3817,149024,2432
zr9576_13V3V4,GS.BH3M,409812,381472,179623,7822,171801,1993,169983,1409
zr9576_14V3V4,GS.C1M,421856,393880,177746,8001,169745,5297,162685,3370
zr9576_15V3V4,GS.C2M,433368,403432,187933,9394,178539,2587,175653,1597
zr9576_16V3V4,GS.CR1C,567166,529368,250140,50542,199598,1775,195715,726
zr9576_17V3V4,GS.CR1M,420952,392388,179925,7758,172167,4184,163760,2341
zr9576_18V3V4,GS.CR2M,433892,407124,187666,11366,176300,3422,172116,2232
zr9576_19V3V4,GS.CR3M,347262,323026,149881,5762,144119,1195,142554,640
zr9576_20V3V4,GS.CT1C,376546,350850,161687,23374,138313,2249,133412,1025
zr9576_21V3V4,GS.CT1M,471278,438198,202948,18248,184700,3171,178503,1591
zr9576_22V3V4,GS.CT2M,498820,463742,212770,18627,194143,3741,188335,2196
zr9576_23V3V4,GS.CT3M,447180,416070,188958,18710,170248,4634,160569,2389
zr9576_24V3V4,GS.FR1C,459264,426438,198927,37235,161692,2239,156684,823
zr9576_25V3V4,GS.FR1M,394536,367278,164740,10528,154212,4742,142761,2198
zr9576_26V3V4,GS.FR3M,507470,472126,218451,14216,204235,4626,193157,2000
zr9576_27V3V4,GS.FR4M,508038,473578,222476,25268,197208,3094,190736,1511
zr9576_28V3V4,GS.I1M,463360,431216,199652,18707,180945,2596,174486,1074
zr9576_29V3V4,GS.I2M,476552,444084,202451,15637,186814,4582,179826,2677
zr9576_30V3V4,GS.I4M,462612,430336,202779,26389,176390,2541,169878,1151
zr9576_31V3V4,GS.NB1M,402226,373602,163733,9868,153865,5586,139527,2558
zr9576_32V3V4,GS.NB2M,435002,405580,185833,29171,156662,3687,145962,1511
zr9576_33V3V4,GS.NB3M,353994,328856,147557,5036,142521,5247,129340,2698
zr9576_34V3V4,GS.PM1M,402548,374058,175112,18633,156479,2491,151119,1280
zr9576_35V3V4,GS.PM2M,524508,487910,219280,18179,201101,6035,187250,2774
zr9576_36V3V4,GS.PM3M,506894,472062,222367,8962,213405,2415,210986,1568
zr9576_37V3V4,GS.RT1C,335778,312554,137690,14629,123061,2872,116893,1201
zr9576_38V3V4,GS.RT1M,456434,425376,189077,8158,180919,5474,167249,2468
zr9576_39V3V4,GS.RT2M,328706,305310,140964,7653,133311,1558,131584,934
zr9576_40V3V4,GS.RT3M,421146,392630,181022,8330,172692,2207,169951,1306
zr9576_41V3V4,GS.S1C,509362,476712,210615,37105,173510,4150,163814,1496
zr9576_42V3V4,GS.S1M,384550,358050,160274,12340,147934,3346,140322,1444
zr9576_43V3V4,GS.S2M,363500,338096,147244,9250,137994,4613,127598,2175
zr9576_44V3V4,GS.S3M,415170,386274,178688,10998,167690,3560,160684,1973
zr9576_45V3V4,GS.S4M,469606,436600,196280,11597,184683,5888,171935,2873
zr9576_46V3V4,GS.SM1M,554208,515800,245314,32123,213191,836,211148,241
zr9576_47V3V4,GS.SM2M,434260,404016,187795,14715,173080,1252,170748,499
zr9576_48V3V4,GS.SM3M,476850,445394,213588,21736,191852,869,190139,390
zr9576_49V3V4,GS.SM4M,585356,545430,252805,16669,236136,3271,231141,1900
zr9576_50V3V4,GS.WE1C,436330,405864,176446,17425,159021,5377,147049,2399
zr9576_51V3V4,GS.WE1M,429106,399120,181982,12656,169326,4044,162303,2325
